Applicant.ID,text
1607,production assistant
1613,sales associate
1615,cash register nail worker
1617,street vendor
1622,none
1630,cashier
1632,ride operator
1636,courtesy clerk teachers aide
1642,manager bartender bartender bar manager bartender
1644,carolina fontaine
1646,sales associate sales associate
1652,assistant sales counter assistant
1654,special education teacher sales person red flower
1660,associate high school teacher server pool manager
1666,crew member finance clerk crew member
1667,receptionist inventory
1671,host waiter cashier
1672,computer cell phone service shop owner manager linguist
1677,none
1681,none
1684,bareburger
1686,none
1691,arts craft instructor sales associate
1692,cook cashier cater server
1697,admissions coordinator
1702,independent agent
1711,electrical trainne dessert maker
1717,assistent
1722,none
1723,barista server head waitress
1729,community content manager customer service specialist barista
1736,none none
1742,manager bartender captain wine buyer front house manager
1747,assistant director counselor sales associate
1752,cashier
1754,intern
1757,none
1760,serve clean
1766,
1780,none
1789,none waiter
1791,none
1800,barista
1801,credit analyst server deputy program manager professional server
1802,product manager contador
1805,none
1828,front desk agent peer advisor
1833,clerk meat dept
1847,server
1856,painter
1863,founder teach assistant research assistant
1868,splice technician project manager business development
1877,sales associate see candy sunnyvaleregistration coordinator front desk extern reeptionist receptionist
1878,sales
1881,none
1888,assistant electrician
1891,sales associate host
1896,bar tender server
1897,server server assistant manager
1898,none none
1906,station agent messenger warehouse worker
1912,server
1916,crew member
1924,none
1929,salesgirl
1932,spanish tutor
1935,student research assistant counter person server sales associate
1937,none
1955,community asst
1956,none
1960,workshop artist art teacher explainer artist educator artist educator
1962,administrative assistant case management assistant college assistant enrollment service center assistant president office assistant procurement analysis
1974,home care
1977,oyaji restaurant
1981,none none
1983,data analysis entry storage organizer store cashier mail carrier deliver
1994,teen staff teen staff teen staff
1995,none none
2000,collector
2005,art contract sales person internship meridian gallery internship percitia eye
2007,translator
2008,clean crew sales associate
2011,waitress
2012,assistant coordinator busser
2016,secretary office manager bartender waitress
2020,waitress cashier
2022,none
2023,custoer srvice officer associate associate client service officer
2026,food service
2038,busboy
2049,cashier
2055,entry level
2059,operator
2061,host server banquet mgr executor estate server host office
2065,none none
2069,care attendent server dishwasher line cook chef book keeper
2071,server host receptionist book keeper customer service rep sales rep
2072,server host receptionist book keeper customer service rep sales rep
2074,data scientist barista bartender customer service rep data scientist engineer store manager cfo japanese translator ios developer
2075,valet attendant standard park company san francisco drive partner uber san franciscomanager manager web developper server line cook customer service rep
2076,receptionist customer service rep
2077,founder rotational project engineer office engineer founder server host barista bartender book keeper customer service rep sales rep tutor
2079,server server bartender
2081,administration
2082,business development innovation consultant business development innovation director founder operations director technical analyst web programmer researcher application programmer
2083,founder ceo founder coo engineer operations officer mentee bartender
2086,代表取締役社長
2087,business analyst sales rep
2090,web developer
2091,sales rep
2092,web developer web developer
2093,mba intern content product solutions sales market manager senior associate sales market
2094,executive manufacture book keeper
2095,value cleaner customer service rep
2097,account executive independent distributor inside sales representative temp account executive inside sales representative inside sales lead generator loan service specialist loan consultant receptionist customer service rep sales rep
2098,host receptionist book keeper customer service rep
2099,server host receptionist book keeper customer service rep sales rep
2102,financial analyst director operations financial analyst manager cash management bank office assistant manager cashier office senior account clerk cashier office account payable various position book keeper customer service rep sales rep
2103,customer service rep sales rep
2104,president supervisor
2105,customer service rep
2106,server bartender receptionist customer service rep sales rep market event plan
2107,receptionist book keeper customer service rep project administrator finance account manager
